CMDLINE python app.py
MEM 13.375000 1756915630.7860
MEM 13.375000 1756915630.8913
MEM 13.375000 1756915630.9931
MEM 13.375000 1756915631.0974
MEM 13.375000 1756915631.2027
MEM 13.406250 1756915631.3075
MEM 13.406250 1756915631.4127
MEM 13.406250 1756915631.5177
MEM 13.406250 1756915631.6220
MEM 13.406250 1756915631.7249
MEM 13.406250 1756915631.8261
MEM 13.406250 1756915631.9283
MEM 13.375000 1756915632.0335
MEM 13.375000 1756915632.1347
MEM 13.375000 1756915632.2399
MEM 13.406250 1756915632.3454
MEM 13.375000 1756915632.4506
MEM 13.375000 1756915632.5559
MEM 13.375000 1756915632.6601
MEM 13.375000 1756915632.7632
MEM 13.375000 1756915632.8685
MEM 13.375000 1756915632.9716
MEM 13.375000 1756915633.0769
MEM 13.375000 1756915633.1820
MEM 13.406250 1756915633.2873
MEM 13.406250 1756915633.3909
MEM 13.406250 1756915633.4946
MEM 13.406250 1756915633.5954
MEM 13.406250 1756915633.7006
MEM 13.406250 1756915633.8059
MEM 13.406250 1756915633.9094
MEM 13.406250 1756915634.0131
MEM 13.406250 1756915634.1184
MEM 13.406250 1756915634.2236
MEM 13.406250 1756915634.3287
MEM 13.406250 1756915634.4318
MEM 13.406250 1756915634.5370
MEM 13.406250 1756915634.6377
MEM 13.406250 1756915634.7430
MEM 13.406250 1756915634.8461
MEM 13.406250 1756915634.9514
MEM 13.406250 1756915635.0563
MEM 13.406250 1756915635.1586
MEM 13.406250 1756915635.2637
MEM 13.437500 1756915635.3690
MEM 13.437500 1756915635.4744
MEM 13.437500 1756915635.5773
MEM 13.437500 1756915635.6827
MEM 13.437500 1756915635.7841
MEM 13.437500 1756915635.8870
MEM 13.437500 1756915635.9885
MEM 13.437500 1756915636.0937
MEM 13.437500 1756915636.1949
MEM 13.437500 1756915636.2974
MEM 13.437500 1756915636.4026
MEM 13.437500 1756915636.5044
MEM 13.437500 1756915636.6089
MEM 13.437500 1756915636.7112
MEM 13.437500 1756915636.8153
MEM 13.437500 1756915636.9188
MEM 13.437500 1756915637.0231
MEM 13.312500 1756915637.1276
MEM 13.312500 1756915637.2318
MEM 13.312500 1756915637.3370
MEM 13.312500 1756915637.4374
MEM 13.312500 1756915637.5427
MEM 13.312500 1756915637.6487
MEM 13.312500 1756915637.7539
MEM 13.312500 1756915637.8544
MEM 13.312500 1756915637.9596
MEM 13.312500 1756915638.0648
MEM 13.312500 1756915638.1681
MEM 13.312500 1756915638.2733
MEM 13.312500 1756915638.3808
MEM 13.312500 1756915638.4824
MEM 13.312500 1756915638.5865
MEM 13.312500 1756915638.6917
MEM 13.312500 1756915638.7969
MEM 13.312500 1756915638.8996
MEM 13.312500 1756915639.0029
MEM 13.312500 1756915639.1078
MEM 13.312500 1756915639.2088
MEM 13.312500 1756915639.3140
MEM 13.312500 1756915639.4193
MEM 13.312500 1756915639.5199
MEM 13.312500 1756915639.6223
MEM 13.312500 1756915639.7228
MEM 13.312500 1756915639.8320
MEM 13.312500 1756915639.9326
MEM 13.312500 1756915640.0344
MEM 13.312500 1756915640.1397
MEM 13.312500 1756915640.2412
MEM 13.343750 1756915640.3464
MEM 13.343750 1756915640.4473
MEM 13.343750 1756915640.5526
MEM 13.343750 1756915640.6551
MEM 13.343750 1756915640.7563
MEM 13.343750 1756915640.8608
MEM 13.343750 1756915640.9657
MEM 13.343750 1756915641.0693
MEM 13.343750 1756915641.1728
MEM 13.343750 1756915641.2775
MEM 13.375000 1756915641.3784
MEM 13.375000 1756915641.4836
MEM 13.375000 1756915641.5888
MEM 13.375000 1756915641.6938
MEM 13.375000 1756915641.7945
MEM 13.375000 1756915641.8996
MEM 13.375000 1756915642.0048
MEM 13.375000 1756915642.1100
MEM 13.375000 1756915642.2152
MEM 13.375000 1756915642.3169
MEM 13.375000 1756915642.4221
MEM 13.375000 1756915642.5248
MEM 13.375000 1756915642.6264
MEM 13.375000 1756915642.7307
MEM 13.375000 1756915642.8360
MEM 13.375000 1756915642.9414
MEM 13.375000 1756915643.0435
MEM 13.375000 1756915643.1451
MEM 13.375000 1756915643.2488
MEM 13.406250 1756915643.3497
MEM 13.406250 1756915643.4547
MEM 13.406250 1756915643.5599
MEM 13.406250 1756915643.6623
MEM 13.406250 1756915643.7633
MEM 13.406250 1756915643.8649
MEM 13.406250 1756915643.9672
MEM 13.406250 1756915644.0724
MEM 13.406250 1756915644.1772
MEM 13.406250 1756915644.2810
MEM 13.406250 1756915644.3821
MEM 13.406250 1756915644.4873
MEM 13.406250 1756915644.5927
MEM 13.406250 1756915644.6932
MEM 13.406250 1756915644.7987
MEM 13.406250 1756915644.9042
MEM 13.406250 1756915645.0097
MEM 13.406250 1756915645.1129
MEM 13.406250 1756915645.2183
MEM 13.437500 1756915645.3227
MEM 13.437500 1756915645.4281
MEM 13.437500 1756915645.5333
MEM 13.437500 1756915645.6386
MEM 13.437500 1756915645.7400
MEM 13.437500 1756915645.8420
MEM 13.437500 1756915645.9448
MEM 13.390625 1756915646.0463
MEM 13.390625 1756915646.1516
MEM 13.390625 1756915646.2556
MEM 13.390625 1756915646.3612
MEM 13.390625 1756915646.4647
MEM 13.390625 1756915646.5700
MEM 13.390625 1756915646.6752
MEM 13.390625 1756915646.7767
MEM 13.390625 1756915646.8823
MEM 13.390625 1756915646.9864
MEM 13.390625 1756915647.0900
MEM 13.390625 1756915647.1933
MEM 13.390625 1756915647.2966
MEM 13.390625 1756915647.3984
MEM 13.390625 1756915647.5039
MEM 13.390625 1756915647.6043
MEM 13.390625 1756915647.7096
MEM 13.390625 1756915647.8127
MEM 13.390625 1756915647.9163
MEM 13.390625 1756915648.0191
MEM 13.390625 1756915648.1245
MEM 13.390625 1756915648.2294
MEM 13.390625 1756915648.3349
MEM 13.390625 1756915648.4393
MEM 13.390625 1756915648.5447
MEM 13.390625 1756915648.6500
MEM 13.390625 1756915648.7553
MEM 13.390625 1756915648.8608
MEM 13.390625 1756915648.9664
MEM 13.390625 1756915649.0674
MEM 13.390625 1756915649.1713
MEM 13.390625 1756915649.2768
MEM 13.390625 1756915649.3824
MEM 13.390625 1756915649.4850
MEM 13.390625 1756915649.5859
MEM 13.390625 1756915649.6912
MEM 13.390625 1756915649.7964
MEM 13.390625 1756915649.9017
MEM 13.390625 1756915650.0031
MEM 13.390625 1756915650.1049
MEM 13.390625 1756915650.2096
MEM 13.390625 1756915650.3124
MEM 13.390625 1756915650.4162
MEM 13.390625 1756915650.5208
MEM 13.390625 1756915650.6231
MEM 13.390625 1756915650.7278
MEM 13.390625 1756915650.8330
MEM 13.390625 1756915650.9386
MEM 13.390625 1756915651.0442
MEM 13.390625 1756915651.1498
